	pid	text	explanation	target_of_sarcasm
1155	915377670300553217	'yes , because we should all die from a duel at least once .  # bored # onlinequiz # socialmedia # facebook'	people don't all die from a duel at least once.	the post where the person died during a duel
1156	729332321325703168	'trying to get some work done on # physiolosophy this morning . no interruptions to deal with at all .  # thisdog'	the author is trying to get some work done on physiology this morning but she has pet interruptions to deal with.	dog's interruptions
1157	1006650182500615948_545170512	#meme#memes#funny#comedy#looneytunes#cartoon#cartoons#wileecoyote#cool#cute#awesome#amazing#lol#laugh#laughing#laughs#best#genius#sarcasm#sarcastic	plugging in the wire of the extension board in itself isn't genius.	plugging in the wire of extension board in itself
1158	721317810044059648	the internet has a definite shortage of cats . here 's mine to make up for that !  # catsoftwitter # caturday	the internet doesn't have a shortage of cats for the author to make up for that.	number of cat photos in internet
1159	715385226482978818	zero grams of fat , so i guess i can eat as much as i want ! fat 's bad and carbs are good , right . . . ? 	even though there's zero grams of fat still it has significant carbs so the author wouldn't eat this a lot.	carbs in jelly beans
1160	916262823168217088	oh . sure . that doesn 't look exactly like google chrome . way to go microsoft . 	that does look exactly like google chrome, sad that microsoft copied it.	microsoft
1161	697199578731409409	'love it when venues have huge performance areas '	the author hates when venues have such small performance area cluttered with instruments.	venue's small performance area
1162	907036606946791425	'just look at my impeccable style # style # hat # fisherman  # wtf emoji_62 emoji_517'	this isn't an impeccable style.	author's style
1163	690535141689663488	man , i 'm so glad we called it a snow day . look at all that snow . it 's madness out there . # snowday 	there is no snow out there, it isn't a snow day.	no snow
1164	865345124724645889	don 't be silly . what kind of trouble could this kindly old lady possibly give # thedefenders ?  # daredevil # marvel # netflix # mcu	this kindly old lady could give trouble to thedefenders.	old lady
1165	826424393022705665	'<user> keep up the good work , almost there . # maga '	achieving the steps of fascism isn't a good work.	<user> for achieving fascism
1166	832266651303284736	'yeah twitter is not biased at all ! '	Twitter is very biased	twitter's bias
1167	899699142850752512	'look at all my co-workers who joined me to watch the # solareclispe2017 ! '	none of the co-workers joined the author to watch the solareclispe2017.	co-workers
1168	910506463704911872	'# greatindianfestival # amazon  thnx for offering rs . <num> off # lightningdeal on the asin b00fzca51c . appreciated :p'	amazon offering just rs <num> off isn't a significant discount.	discount in amazon offering
1169	855283084521988097	it 's okay to park in a disabled park , if you are perfectly able bodied , when you drive a saab  # makesmecross	it's not okay to park in a disabled park, if you are perfectly able bodied, even when you drive a saab.	parking in disabled park
1170	864472624910528512	'well being outside is great . i really have the time of my life .  # cat'	the cat doesn't enjoy being outside, she's not having the time of her life.	cats unhappiness
1171	867826738608439297	oh , that 's what happens ? shoot ... 	the author already knows what happens when you unfriend someone on facebook.	facebook's notification about unfriending someone
1172	689456651997347841	'oh good . so glad i get to grocery shopping this morning . i love cold weather .  # momlife'	the author hates grocery shopping in such cold weather.	going to grocery shopping in cold weather
1173	875167692507856896	'<user> learned rage . gee .. never would have guessed .  # markiplier # gameboycolor # pokemoncrystal # rage'	<user> learned rage isn't surprising.	<user> learning rage
1174	895970748115845120	' : every indian citizen ΓÇÖ s fundamental rights # india # odia # odisha # constitution # voters # aadhar # equality # freedomofspeech'	throwing garbage in public isn't any indian citizen's fundamental right.	throwing garbage 
1175	868500594943766528	ok , i was wrong . men are what 's wrong with this world ........ we need to ban men , period ! 	men aren't what's wrong with this world, no need to ban men.	news targeting men
1176	932353655130480640	'whatever shall i do ? the $ 250 louboutin baby shoes in the <user> holiday gift guide are all sold out . '	the author doesn't care that the $ 250 louboutin baby shoes in the <user> holiday gift guide are all sold out.	$250 lounoutin bay shoes
1177	877599207364726474_25307274	Canadian illegals just chilling in the Denny's parking lot. lol.	some non canadian ducks chilling in denny's parking lot.	ducks 
1178	886988616643350528	remember guys , <user> has the country 's best interest in mind . # madeinamericaweek  # fakepresident # leastfavoritetie	the author doesn't think that trump has the country's best interest in mind, because the tie is made in china.	president's tie having made in china tag
1179	892844521125535744	'great surf !  emoji_2080 emoji_509 emoji_2746 emoji_2748'	bad surf, the man is all wet.	bad surf
1180	830103394714939392	the beautiful los angeles river - why isn 't this a wonder of the world already ? 	the los angeles river is dried up.	dried up river
1181	698737167527358465	great way to use police for real emergencys and crowd the jails with theives cici 's pizza .  # petty	it’s a terrible way to use police for such petty things	using police for such petty things
1182	927678981398286336	'can ΓÇÖ t wait to listen to this unbiased review !  # unsubscribe'	the author doesn't want to listen to this biased review.	biased review
1183	506530128407423488_376819217	There is NOTHING in the world more important that waiting to see a royal baby #worldnews #closeddoors	There are things in the world more important to see than a royal baby.	importance of waiting to see a royal baby
1184	829314407377338369	'awesome to see # pittsburgh students mobilized for # dumpdevos ... <user> they represent the future you just alienated , nice job '	students represent the future that <user> just alienated, terrible job.	<user> for alienating students
1185	787703611023298560	locust trees , you 've got to love them !  # thestruggleisreal # warrenvalleygolf	the author hates locust trees on the golf course.	locust trees
1186	917570458060341248	'no wonder twitter shields me from the evils of alicia masters . how dare she respect love and love ben grimm instead of being sjw ? '	alicia masters isn't evil, she respect love and love ben grim instead of being sjw.	alicia's character
1187	1004312659804160601_6010895	Come to #jakarta and enjoy the city lights. Ain't it beautiful? #sarcastic #trafficjam #everydayshit #enjoyjakarta #VSCOcam	A traffic jam doesn't make it beautiful.	traffic jam in jakarta
1188	873200037739675649	'sure , take a bunch of selfies on my phone without me , that seems fair .  # sisters'	taking a bunch of selfies on the author's phone without her isn't fair.	sisters
1189	685857038681899010	'i just love when santa leaves gifts that need to be together .  # hockeynet # gettingtoitlate'	the author hates when santa leaves gifts that need to be together.	gifts that need to be together
1190	825924750379671552	'this was a tough crossword clue especially after this weekend .  emoji_92'	this was a straightforward crossward clue especially after this weekend	easy crossward clue
1191	691345881732419584	'under <num> year old home has a roof leak after the snowfall . <user> you workmanship is top '	<user>'s workmanship is pathetic since under <num> year old home has a roof leak after the snowfall.	<user>'s workmanship
1192	863603447869956097	'<user> weird . this never happens ... '	broken machines are common at <user>.	<user>'s broken machines
1193	1037588746218294481_48204658	ðððð¼ðð¼ #text #annoying #hours #adorable #sarcasm #sarcastic #trueshit	it's very annoying when someone doesn't text you back for hours.	person who does'nt text back for hours
1194	866154330222600192	'when your friend gives you a major confidence boost # hintmysarcasm '	it's not a confidence boost when your friend says that neither of us are going to find someone.	friend for low confidence
1195	1112988984852242540_2001400663	#worshiping #satan #obviously #mum #sarcastic #funny #walmart #playing #me #shopping	playing with a display thing isn't same as worshiping satan.	author for playing with display
1196	1044429960235794228_2082247126	Ugh I'm sick yayð #sarcastic #ill	being sick isn't exciting.	author being sick
1197	860468122138095616	'# cincodemayotaughtme that # trump cares for hispanics by eating a taco bowl ! '	trump doesn't care for hispanics.	trump for not caring for hispanics
1198	905016084209782784	look at me . i put chia seeds in my daughter 's school lunch . that makes me a great parent . 	the author putting chia seeds alone in her daughter's school lunch doesn't make her a great parent.	author's statement of being great parent
1199	933107577352634373	'imagine if this silvertongue were a defense attorney ... such compelling arguments he ΓÇÖ d have . '	it would be a disaster if this silvertongue were a defense attorney, given such awful arguments he has.	trump for defending a pedophile
1200	817470301374128131	this is the most useful invention ever ! thanks albert einstein i 'll be using this !  # innovative # inventions	this is the most useless disgusting invention ever, drink coming out of a slipper.	invention where drink comes out of slipper
1201	884901385141190657	'another great day of service # mbta '	it's not a great service since there's very little space to stand.	bus's little space to stand
1202	917778825810993152	# hrc defenders sound so stupid saying she shouldn 't denounce # harveyweinstein .. a great defender of women she is .. 	hrc defenders sound stupid saying she shouldn't denounce harvey weinstein, she's a terrible defender of women.	hrc defenders 
1203	865632598298509312	'picked up our marriage certificate and was forced to look at this eyesore .  ΓÇô at san diego county administration building'	the author is looking at a beautiful view.	beautiful view
1204	854637093166960640	this isn 't creepy at all 	this comment is creepy.	creepy comment
1205	1040909753600324450_196071419	Nothing says summer fun more than summer classes. #208 #pictureaday #musicclass #musicappreciation #summerclass #summerschool #sarcastic #idratherbesleeping #yesterdayspost	summer classes aren't fun to the author, he would rather be sleeping.	summer classes
1206	867148282518220801	<user> you have the best words filter ever guys ! ! don 't you ? .  # tottaly_not_right # roblox	"<user> doesn't have the best words filter, ""party queen"" is offensive."	<user>'s words filter
1207	858712484131287043	first time i try tepache , as you can see i didn 't like it at all  totally loved it ! ! deli ! ! : 9	the author tried tepache for the first time and loved it, given the almost empty glass.	author liking tepache
1208	894228908584951808	'put this in every one of your meals you are guaranteed to lose weight especially cause its organic '	putting this in every one of your meals doesn't guarantee you to lose weight just cause its organic.	coconut oil being organic
1209	928653276744241152	'with all the # fakenews going around , how about some real news ?  # couldntmakethisup'	this isn't real news.	fake news
1210	938669924347625472	'heavy discount !  # flipkart emoji_15'	this isn't a heavy discount.	discount for papers
1211	887461512746598400	'<user> the only employee running a register with maybe 50-60 people in line . quality service ( insert  here )'	it isn't a quality service since the only employee is running a register with maybe 50-60 people in line.	<user>' bad service
1212	896770962644885504	'# beautifulplacesmisrablefaces my miserable place ! ! ! '	place is beautiful but face is miserable.	author's face
1213	706289587212124160	'work tonight so many things to put away and so many kids running around and screaming fun ! - - '	it's not fun when you have to work and you have many things to put away and have many kids running around and screaming.	working while kids running around
1214	888494866652475392	'according to <user> right now on <user> , there is one man ole miss needs to turn to in their time of need . '	there isn't any man ole miss needs to turn to in their time of need.	ole miss's dependence on a man
1215	901341871414194176	"'innocent "" rohingyas "" passing by . don \'t worry . these men are innocent . they haven \'t done anything wrong . '"	guilty rohingyas passing by, these men aren't innocent, they have done wrong.	rohingyas 
1216	794312091402436608	yup . nearly an hour later . moved about <num> yards . didn 't want to go home tonight . honest . 	the author is pissed to have moved just about <num> yards after nearly an hour later, he wants to go home quickly.	traffic causing delay
1217	872759940439560197	shame i 'll miss the balanced reporting 	the author isn't sad since it won't have been a balanced reporting anyways.	fox news channel's reporting
1218	700863474549727232	'talking to her fiancee and then asks about stefan ... but yeah that was soooo romantic lol '	talking to her fiancee and then asks about stefan ... That sure wasn’t romantic	person for not being romantic
1219	871093312157077504	'kids are having a great time '	kids aren't having a great time.	kids not having fun
1220	927840524970659840	"'"" jadeja & i have a great understanding . when we are running between the wickets & if he says two , i just close my eyes and run single ( hardik pandya ) '"	jadeja & hardik don't have a great understanding running between the wickets since when jadeja says two hardik run just a single.	understanding between jadeja and hardik
1221	903920412633965363_4484455	About to start working on this. No pressure at all, it's only 24k gold. #gold #goldleaf #goat #skull	the author is about to start working on this and he's under pressure since it's 24k gold.	author's pressure on the work
1222	722945429805998080	'thank you , passive-aggressive fortune cookie .  # fb'	the author doesn't want such knowledge from a fortune cookie.	fortune cookie's advice
1223	880193451031011328	'dear <user> , doing a wonderful job finding this lost package .  # epicfail'	<user>'s not doing a wonderful job finding the lost package since it's not yet been recovered.	<user>'s bad job of finding lost package
1224	884593874181685248	thanks for the spoiler <user> ! i didn 't want to find out who won hoh on my own anyway . 	the author is pissed at <user> for giving the spoiler, he did want to find out who won hoh on his own.	<user> for spoiling the show
1225	848900206594850818	oh that 's nice - this restaurant offers salads with vegetables too .  # odddescriptions # canthelpchuckling emoji_2725	salads usually consist of vegetables.	descriptions of the salads in the restaurant
1226	883836170643267584	'thanks . that really makes up for you scratching the whole backside of my car .  emoji_107 emoji_689'	a note doesn't make up for scratching the whole backside of a car.	apology note for scratching the car
1227	855975235564298244	'the best part '	the author doesn't like to have to set so many alarms to wake up in the morning.	many alarms to wake up
1228	487626308480724432_182097106	Prom was so fun #tbt #deadarm	the author's prom wasn't fun because she had a dead arm.	author's prom 
1229	713045799802912768	'eating my filling lunch ! bread and meat !  # faith'	this lunch comprising of bread and meat is anything but filling	breat and meat for lunch
1230	894472625585618944	'shout out to . <user> for always keeping fresh stuff out '	this kale at walmart isn't fresh.	<user> for unfresh stuff
1231	835858266345226241	'<user> thank god you informed me on what don cheadle said about the president avoiding # nerdprom2017 . otherwise the world might end . '	it's not an important news to inform on what don cheadle said about the president avoiding nerdprom2017.	<user> for providing unimportant news
1232	899909890306650113	"'hey <user> "" thanks ""  for the pre-order notification i signed up for - friggin useless . # snesclassicmini # snesmini'"	the author is pissed at <user> since he signed up for the pre-order notification and yet didn't get it.	<user> for pre-order notification
1233	714920275444412416	'good thing islam is peaceful can you imagine how many innocent would be dead ! '	according to these statements, islam isn't peaceful since it suggests violence.	islam being peaceful
1234	910898013207396352	'<user> cant wait to see which players get compared to earl thomas and kam chancellor this week ! '	the author doesn't want to see players getting compared to earl thomas and kam chancellor this week.	getting compared to earl thomas and kam chancellor
1235	869635660956618752	3b in carbon tax to cut ghg emissions offers $ 100 rebate to replace a fridge . a huge incentive that 's for sure .  # ableg # wrp # yeg emoji_193	the author doesn't think $ 100 rebate to replace a fridge is a huge incentive.	$ 100 rebate to replace a fridge
1236	873033566568894466	# godsays : 'maybe if i told you that your brain is an app , you 'd start using it ? ! '  # fridayfunday # godlovesfun # braindrain	people use apps a lot but don't use enough brain.	people who donít use brain
1237	848097992611639296	when your safe won 't open so you use a hammer to open it super easily literally took like <num> hits # quality 	it's a bad quality safe if it opens super easily with a few hammer hits.	quality of the safe
1238	900525631557038081	wow ! what blazing fast lte speeds we 've been getting in the <num> from <user>  <user>	the author hates what slow lte speeds they've been getting in the <num> from <user>.	<user>'s lte speeds
1239	920540607105216512	'what some would like us to believe ....  # nooffence'	Banning crackers just for day of diwali won't make delhi the least polluted city, it would take a whole lot of effort	banning crackers
1240	845457386647289857	'every senator that voted to sell your private information without your consent is republican . big surprise . '	the author isn't surprised that every senator that voted to sell your private information without your consent is republican.	republicans 
1241	872572672273723397	"'the comic "" # getyourwaron "" by david rees gives everyone big loads of  and # darkhumor . i recommend it .'"	it's dangerous that we're dropping food aid packages into a country that's one big minefield.	dropping food aid packages into a country with big minefield
1242	924138133633093632	<user> so , now we 've got a rich white guy on the cover . when will you learn to stop teaching racism ?  # manup <user>	just because there's a rich white guy on the cover doesn't mean it's teaching racism.	racism on the <user>'s cover
1243	826773461574021120	'love how <user> maintains their platform & removes snow !  sosafe been <num> hrs since snow stopped emoji_73'	the author hates how <user> hasn't removed snow from their platform, it's been <num> hrs since snow stopped.	<user>'s bad maintanance of platform
1244	682906033312935936	<user> your app in england. ads are working though you 'd be pleased to know . # fail 	the author is complaining about the app since ads are working but the actual content isn't available in the app.	<user>'s app
1245	1023601223053360559_1728949110	Thanks for the submit! Haha such a good pick up line! And a very accurate preamble. ..#tinder #tinderfail #creepyguy #creepytindermoments #loser #youscaredmeoff #pickuplines #pickuplinesthatdontwork #domelikethesat #sat #sats #takethetest #snarky #sarcastic #snarkastic #youarestupid #stupid #stupidity #stupidityiswinningthewar #no #idiot #byefelipe #unique	it's a terrible pick up line.	guy's terrible pickup line
1246	709027908606500865	'<user> your website is wonderful . '	<user>'s website is terrible since it shows a juicer and a bottle when searched for dishwasher.	<user>'s website
1247	857621341461250049	thanks <user> you 're always so reliable . # fail # onenote 	the author is pissed at <user> that it's not always reliable and has server problems.	<user>'s unreliability
1248	779398512073203717	well , i 'm certainly glad i went out for lunch to watch this ! 	the author is pissed that he went out for lunch to watch such poor game.	poor game
1249	689866246855266304	'totally not photoshopped in an iphone app . nope . not even .  # photoshopcity emoji_15 emoji_1629'	this photo is totally photoshopped in an iphone app.	photoshopped photo
1250	700446837044457473	'really ! ? are will still mocking dyslexic people and thinking it â€™ s ok ? nice work <user>  - _ -'	the author is pissed at <user> for mocking dyslexic people and thinking it's ok.	<user> for mocking dyslexic people
1251	935243492493807616	'my older son found one of these in a local playground a few weeks ago . wondering if it might soon be worth more than a bitcoin ?  # thewestwing'	it won't be worth more than a bitcoin.	coin found on playground
1252	940690391078260737	'finally our representatives are being responsive to the demands of the working man and woman ! who couldn ΓÇÖ t love this tax bill now ? ! ? ! # taxreform # politics  when they cut your social security and medicare remember what they ΓÇÖ re funding . screw these guys . seriously .'	the representatives aren't being responsive to the demands of the working man and woman, instead they are discussing tax rate cut for top earners.	representatives for unfair tax bill
1253	887314150812209153	janeausten , i mean , c 'mon ! wat did she do with her life xcept write a few lousy lines . without her books , wat did she do ? nothing . 	jane austen wrote books in her life, it's something.	jane austen's work
1254	696337814485598208	best day ever !  rt <user> : <user> don 't we look happy ! ! ! i 've beard trimmed after seeing this !	<user> doesn't look happy.	<user> being happy
1255	887842905397772288	'coach missy teaching in # nyc she is no fun at all !  # nyc # rphase # injuryrehabilitation # neuralreeducation # mobilityrestoration emoji_1930 emoji_1559'	coach missy teaching in nyc, she is fun.	fun coach missy
1256	897833440300683264	"'yes , the "" alt-left "" looks sooo violent ... how dare those teenagers stand together in solidarity against white supremacists ... '"	the alt-left doesn't look violent, those teenagers are just standing together in solidarity against white supremacists.	non-violent teenagers
1257	943984761588117504	'i look forward to my icy commute home , should my windows ever clear up .  # winterishere'	the author isn't looking forward to her icy commute home, should her windows ever clear up.	author's unclear window
1258	924726002709942273	'according to your website myself and a large majority of the l4 area fail to understand how to plug our routers in . <user> '	the author and a large majority of the l4 area haven't failed to understand how to plug the routers in, it's some other issue.	<user>'s website
1259	884852356839604225	<user> boy that 's alot of # bacon . 	that's very little bacon by <user>.	<user>'s little bacon
1260	912441696960393216	it 's bad enough that hobby lobby is racist with their cotton displays . but now it is in my medication too . i 'm offended . 	the medication isn't racist, the author's not offended.	hobby lobby
1261	858789950715830272	'just a few storm / flooding reports over the past <num> hours .  # arwx'	there's been a lot of storm / flooding reports over the past <num> hours.	lot of storm / flooding reports
1262	822590236844818432	'oh yeah  attack a ten year old child . classy .'	to attack a ten year old child isn't classy.	person who attacks a ten year old child
1263	954464145690837358_35504079	The things I get stuck doing on campus. Launching unmanned sonar into the bay is soooo #boring #didson #dofunstuff	the author loves doing such things on campus like launching unmanned sonar into the bay.	author doing fun stuff
1264	921091628986662912	'who wants to spend time with family # diwalinight when u can spent time waiting <num> ur train <user> stn <user> hope u get '	everyone wants to spend time with family diwalinight and not spend time waiting for a train.	wait for the train
1265	462995841994252472_32915823	Nothing creepy about walking in this room to take pics at all. lol #empty #oddjobduties	it's creepy to walk in a room filled with caskets to take pics.	taking pics in room filled with caskets
1266	709678110514536448	'# cleanforthequeen going well round here ! !  # mk <user>'	clean for the queen isn't going well here since there is trash visible.	trash
1267	817051619334311936	'every good brand strategy includes modal usage guidelines . '	every good brand strategy clearly doesn't include modal usage guidelines.	modal usage by brands
1268	697805990251651073	"'this weekend screams "" ice cream weather ! ! ! "" # bostonpublicmarket '"	it's freezing weather this weekend and not an ice cream weather.	freezing weather
1269	904360234193305600	'uh oh stop being a feminist start repopulating ladies ! '	shouldn't stop being a feminist or start repopulating.	being feminist
1270	884982698355421185	on holiday , it 's raining , just paid my $ 100 a month <user> bill and i 'm getting awesome speeds . 	the author is pissed that he just paid $ 100 a month <user> bill and he's getting terrible speeds.	<user>'s terrible speed
1271	724285387342897152	'thanks youtube for removing little red corvette . '	the author is pissed at youtube for removing little red corvette.	youtube for removing little corvette
1272	689186484902064128	i 'd love to clean up my family 's mess from breakfast after <num> hours on my feet at the cafe . 	the author is too tired after <num> hours on his feet at the cafe to love to clean up his family's mess from breakfast.	family's mess from breakfast
1273	847432842095190016	'liberals are attacking our vp for this statement he made <num> years ago . how dare he have respect for his wife and other women '	it's good that mike pence has respect for his wife and other women, it's nothing to get attacked for.	liberals attacking vp
1274	879531973978599424	'gear challenges give us the most useful items !  # starwarsgalaxyofheroes # swgoh'	gear challenges don't give us the most useful items.	items from gear challenges
1275	921667557488074753	'you gotta believe that # rahulgandhi is an international brand when people from other countries rt his tweets  # rahulwaveinkazakh'	rahul gandhi isn't an international brand just because people from other countries rt his tweets.	rahul gandhi's fame
1276	902605106864164865	'go go singles  emoji_818'	this isn't an act to be proud of.	author not liking couples
1277	689704577847918592	'<user> <user> what an inspiringly different and inclusive event from <user>  emoji_156'	it's an uninspiring, cliched and exclusive event by <user>.	<user>'s event
1278	441266387606074162_21581307	Well this is a happy subject! #lightning #physics #darklightning #deathbylightning #quiteshocking	death by lightning isn't a happy subject.	subject of death by lightining
1279	937840549486387200	one of life 's great gifts ..  emoji_156 emoji_156 emoji_156	it's annoying when windows starts working on updates.	windows updating
1280	855613279212883968	"'my "" tweets over time "" timeline is quite impressive if you ask me  # tweetwhat # commnboujee'"	"the author's ""tweet over time"" timeline isn't impressive."	author's tweets over time
1281	736287075469799426	'# thankyoustephenharper for being such a good steward of our precious lakes & rivers .  # cdnpoli'	the author is pissed at stephen harper for being such a bad steward, not protecting the precious lakes & rivers.	stephen harper 
1282	700810895488892928	'* great * <user> service . received some mail frm our feb 1-5 hold request today . the rest ? came despite hold . '	the author is pissed at <user> for such a bad service sending mail from their feb 1-5 hold request today, the rest came despite hold.	<user>'s  bad service
1283	697469881294278656	i 'm really digging the <user> new website format . 	the author isn't really digging the <user> new cluttered website format.	<user>'s new website format
1284	887388925412626432	'thanks guys for the back up ... <user> <user> # amazingteam '	the author is pissed at <user> <user> for not providing the back up.	<user>'s back up
1285	850937504714825728	poor old mary . the only achievement in her life was becoming a footnote 'wife of the above ' # goodolddays 	becoming a footnote 'wife of the above' was not the only achievement in her life.	mary being put in footnote
1286	916276795720179713	'no , but you don ΓÇÖ t have a gun problem , right america '	america does have a gun problem, given such fatal gun shot incidents.	america's gun problem
1287	888130707121475588	'best part of my day '	being in traffic can't be the best part of the author's day.	traffic
1288	691617977238736896	'thank god i pay taxes to have my street plowed <user> '	the author is pissed at <user> because she pays taxes to have her street plowed and yet it isn't done.	<user> not plowing street
1289	779162364960657408	'i love the smell of sexism in the morning . '	the author hates such sexism when asked for status in case of females.	sexism
1290	896392856914477056	'# idli is the best meal in world <user>  # fakenews # cnn sry just went with the flow .'	this is fake news since idli isn't the best meal in world.	news that idli is the best meal
1291	862708855809212420	'<user> totally looks like the steakhouse king burger you just started selling . really  # disappointed'	the author is disappointed that this doesn't look like the steakhouse king burger <user> just started selling.	<user>'s burger
1292	463676793644005094_179243980	IT'S ABOUT TIME!!! thanks for the 7month wait CA government, really appreciate it :) #timetobuffuptheresume #countdowntoleavekrikorian	the author doesn't appreciate that the CA government made him wait for 7 months.	ca government's delay
1293	695714852241670145	'totally legit ascam '	it's a spam, possibly scam, message.	scam message
1294	863605677075378177	'<user> # lollygagging in the basement watching . # armyofdarkness what a terrible saturday ! '	the author is having a great saturday lollygagging in the basement watching armyofdarkness.	author lollygagging in basement
1295	860541786783191041	love when a book isn 't even written and readers already rate it .  # readitfirst	the author hates when a book isn't even written and readers already rate it.	readers
1296	904800111040937984	'micro managing micro managers - thats north london intelligentsia at their best # circleoftrust  emoji_2058 emoji_2058'	micro managing micro managers - thats north london intelligentsia at their worst.	north london intelligentsia
1297	936300042079690752	'thank you ! <user> for not including <user> pic in ur recent mag article . # sweettalk # nobias '	the author is pissed at <user> for not including <user> pic in their recent mag article.	<user> 
1298	713788282107207680	'ugh , thank god these are organic now ! !  # why # whocares'	the author doesn't care if this item is organic or not.	chips being organic
1299	911267928573693952	'what a beautiful day for a divorce !  # sadness # loss # regretwhat a beautiful day for a divorce !  # sadness # loss # regret'	it's a sad day for a divorce.	author getting divorce
1300	817389486518759428	'nice misspelling recovery with a sharpie . because another printout would be so expensive . '	this misspelling shouldn't be corrected with a sharpie, another printout wouldn't be so expensive.	misspelling recovery with sharpie
1301	817365659101315072	'your friday reminder : people are not more important than the process ! ! ! '	people are more important than the process.	importance between people and process
1302	847132915272237058	stewie woke boo and me up so many times last night . i 'm glad he 's able to relax now .  # sleepykitty	the author is annoyed that stewie woke boo and her up so many times last night and now stewie is relaxing.	stewie
1303	882363765655834624	'a brilliant move by the <user> front office to move shaw '	a stupid move by the <user> front office to move shaw	<user> front office moving shaw
1304	864456079446507521	'such beautiful day to go to work instead of being at home .  emoji_2725'	it's not a beautiful day to go to work instead of being at home, the weather is cold and stormy.	cold and stormy weather
1305	898149109093322753	remember when # liberals club you it 's with love in their hearts . antifa just had defensive weapons .  # maga <user>	when liberals club you it's not that there's love in their hearts and antifa was also violent.	liberal's 
1306	846081430341988352	' thanks stewarts fountain classics for making a soda that taste like cherry cough syrup .'	the author doesn't like stewarts fountain classics' soda that tastes like cherry cough syrup.	stewarts fountain classics's soda
1307	831612927199289344	'<user> you guys sure know how to run a business . thank you so much for your time management skills . '	the author is pissed at <user>'s time management skills since he hasn't received the package on time.	<user>'s time management skills
1308	838460050721112064	'<user> <user> great job keeping the lines going . '	the lines aren't going further, people are waiting in the line.	line of people in the shop
1309	905874574620938240	'a cheeky recursive function to end the day on deserves gnocchi and sopranos on tv with the cat . # thuglife '	a cheeky recursive function to end the day on doesn't deserve gnocchi and sopranos on tv with the cat.	author's recursive function 
1310	860113625960267776	'do not become addicted to healthcare or you will resent its absence . # theyreallycareaboutvoters # votenoahca <user> '	trump doesn't really care about voters, he wants to take away healthcare.	trump's opposition of healthcare
1311	1028283073576627830_126338	Gloomy weather is motivation to head back to the office after vacation. #sarcastic #notreally #Monday #adagency #agencylife #FigurativelySpeaking #ugh #gray #rain #backtowork	gloomy weather isn't a motivation to head back to the office after vacation.	gloomy weather
1312	904909625362927616	'<user>  i mean cmon her handle is elf f $ cker and shes totally dogging you out .'	it's irresponsible to stay calm when stores are already running out of supplies and gas prices are shooting up.	<user>'s concern for storm
1313	897956554019831809	'# youtubevlogpreview this week should be so much fun because i am talking about # exes which is always a joy (  ) # imjustseyin # christi ΓÇª'	talking about exes isn't always a joy.	talking about exes
1314	1008182510123106762_449732447	Well that was a fantastic 1st shift back #ouch #suchaklutz 😩	that wasn't a fantastic 1st shift since the author hurt himself.	author's injury
1315	924213205806788608	what ? the gop a-holes lied ? noo ... that can 't be ! 	the gop a-holes lied isn't surprising.	republicans 
1316	850711060969660416	i 'm overwhelmed by the amount of bacon on this <user> bob . 	the author is pissed at <user> for such a small amount of bacon on this.	small amount of bacon
1317	885108329697161217	on vacation and this is the alert i get . now i 'm not worried and totally enjoying my day !  # weare doomed	the author is worried and not enjoying his day due to such an alert about a massive chunk of ice breaking away from antarctica.	author's worry about the large iceberg
1318	906348842156773377	'racism is not alive and well in america . '	racism is alive and well in america.	racist tweet
1319	831260927500615682	there 's nothing like this amazing view out my living room window . # iliveinanigloo 	the living room window is covered with snow.	window covered with snow
1320	885511748557604068_525778456	Pouring mimosas for rich women on Southport. Happy Sunday to me. #sundayfunday #work #yay #mimosas #southport	the author is sad pouring mimosas for rich women on southport on a sunday.	work on Sunday
1321	856944063945355264	this isn 't dangerous . going to teach my players to tackle like this at practice first thing tomorrow morning . 	this is dangerous and the author wouldn't teach his players to tackle like this at practice.	player doing dangerous tackle
1322	847525149880483840	'in my happy place # dmv line out the door wowza '	nobody's happy to be in a dmv line out the door.	dmv line out the door
1323	956664180533969224_175826103	Easter isn't complete without blinking snow! #urgh #goaway	the author doesn't like snow on easter.	snow on easter
1324	922367870008299520	'fantastic sale offers at gnc !   <user> <user> <user> # bodybuilding'	it's not a fantastic sale, some products are sold at price same as before.	products price at gnc
1325	885411620255440897	'good piece of # advice ! # bones # heart  # failnot'	to break their bones since they have 206 of them is a bad piece of advice.	advice saying to break bones instead of heart
1326	729474644483280897	'rofl  # android # development'	andoid studio takes very long for building your project.	android studio's project building time
1327	855654790977781760	lyrics don 't matter , so came up with nominees for xxl freshman class <num> # hiphop # xxl # xxlfreshman # mumblerap  # supportrealhiphop	lyrics do matter.	nominees for xxl freshman class
1328	928228925670531072	'dear <user> ji : why are you wasting money on vaccinating indians - you should also play caste card and win votes - this country rewards divisive forces and corrupts !  ( likhna pada kyonki logon ka sq kam hai !'	it's good that <user> ji is spending money on vaccinating indians.	<user> ji 
1329	924369451415465984	'<user> great deals in your mebane , nc outlet ! '	it's very expensive in <user>'s mebane, nc outlet.	<user>'s expensive mebane nc outlet
1330	721813063490539526	port authority : <num> million people , one working women 's room . well done .  # portauthority	the author is pissed at port authority for having just one working women's room for <num> million people.	port authorithy having one working woman
